frequency_inverse_angstrom,two_states_amplitude,gaussian_amplitude
1.106250000000000011e-01,1.661233781457654712e-01,3.805015175511742842e-01
1.112500000000000017e-01,1.757962799343545379e-01,3.763580960299527933e-01
1.118750000000000022e-01,1.854522381115908114e-01,3.722368316081954842e-01
1.125000000000000028e-01,1.950903220161281926e-01,3.681379872984423263e-01
1.131250000000000033e-01,2.047096027093796011e-01,3.640618190991812830e-01
1.137500000000000039e-01,2.143091530650508003e-01,3.600085760092671672e-01
1.143750000000000044e-01,2.238880478584985012e-01,3.559785000443281833e-01
1.150000000000000050e-01,2.334453638559053357e-01,3.519718262551326249e-01
1.156250000000000056e-01,2.429801799032638709e-01,3.479887827478854723e-01
1.162500000000000061e-01,2.524915770151580086e-01,3.440295907064279124e-01
1.168750000000000067e-01,2.619786384633375764e-01,3.400944644163086394e-01
1.175000000000000072e-01,2.714404498650743736e-01,3.361836112906974039e-01
1.181250000000000078e-01,2.808760992712920901e-01,3.322972318981103901e-01
1.187500000000000083e-01,2.902846772544623866e-01,3.284355199919167800e-01
1.193750000000000089e-01,2.996652769962566687e-01,3.245986625415943072e-01
1.199999999999999956e-01,3.090169943749473402e-01,3.207868397657028248e-01
1.206249999999999961e-01,3.183389280525494858e-01,3.170002251665436366e-01
1.212499999999999967e-01,3.276301795616933243e-01,3.132389855664719502e-01
1.218749999999999972e-01,3.368898533922199401e-01,3.095032811458300892e-01
1.224999999999999978e-01,3.461170570774929067e-01,3.057932654824674357e-01
1.231249999999999983e-01,3.553109012804160916e-01,3.021090855928151853e-01
1.237499999999999989e-01,3.644704998791494788e-01,2.984508819744812191e-01
1.243749999999999994e-01,3.735949700525162398e-01,2.948187886503307875e-01
1.250000000000000000e-01,3.826834323650897263e-01,2.912129332140208637e-01
1.256250000000000144e-01,3.917350108519561669e-01,2.876334368769511429e-01
1.262500000000000011e-01,4.007488331031409667e-01,2.840804145165996553e-01
1.268750000000000155e-01,4.097240303476953893e-01,2.805539747262062455e-01
1.275000000000000022e-01,4.186597375374282448e-01,2.770542198657710564e-01
